"","title","author","links","date"
"1","Questionnaires for Lung Health in Africa across the Life Course","Questionnaires for Lung Health in Africa across the Life Course","https://doi.org/10.3390/ijerph15081615","
Symmetry 2022, 14(4), 700; https://doi.org/10.3390/sym14040700 - 29 Mar 2022
"
"2","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","
by
Sepeedeh Saleh, Richard Van Zyl-Smit, Brian Allwood, Herve Lawin, Bertrand Hugo Mbatchou Ngahane, Irene Ayakaka, Elvis Moyo, Asma El-Sony, Kevin Mortimer and Jamie Rylance ","https://doi.org/10.3390/su10082645","
Water 2022, 14(6), 874; https://doi.org/10.3390/w14060874 - 11 Mar 2022
"
"3","Peanut Consumption in Malawi: An Opportunity for Innovation","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","https://doi.org/10.3390/foods7070112","
Vaccines 2022, 10(3), 418; https://doi.org/10.3390/vaccines10030418 - 10 Mar 2022
"
"4","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","
by
Hayley Leck, Mark Pelling, Ibidun Adelekan, David Dodman, Hamadou Issaka, Cassidy Johnson, Mtafu Manda, Blessing Mberu, Ezebunwa Nwokocha, Emmanuel Osuteye and Soumana Boubacar ","https://doi.org/10.3390/su10072394","
Int. J. Environ. Res. Public Health 2022, 19(5), 3076; https://doi.org/10.3390/ijerph19053076 - 05 Mar 2022
"
"5","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","Peanut Consumption in Malawi: An Opportunity for Innovation","https://doi.org/10.3390/insects9030074","
Sustainability 2022, 14(5), 2719; https://doi.org/10.3390/su14052719 - 25 Feb 2022
"
"6","Estimated Burden of Serious Fungal Infections in Malawi","
by
Aggrey P. Gama, Koushik Adhikari and David A. Hoisington ","https://doi.org/10.3390/jof4020061","
Sustainability 2022, 14(5), 2536; https://doi.org/10.3390/su14052536 - 22 Feb 2022
"
"7","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","https://doi.org/10.3390/su10051453","
Water 2022, 14(4), 619; https://doi.org/10.3390/w14040619 - 17 Feb 2022
"
"8","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","
by
Tracy D. Morse, Humphreys Masuku, Sarah Rippon and Hudson Kubwalo ","https://doi.org/10.3390/cli6020034","
Sustainability 2022, 14(4), 2162; https://doi.org/10.3390/su14042162 - 14 Feb 2022
"
"9","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","https://doi.org/10.3390/land7020049","
J. Pers. Med. 2022, 12(2), 265; https://doi.org/10.3390/jpm12020265 - 11 Feb 2022
"
"10","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","
by
Trust Kasambala Donga and Richard Meadow ","https://doi.org/10.3390/su10041149","
Sustainability 2022, 14(3), 1532; https://doi.org/10.3390/su14031532 - 28 Jan 2022
"
"11","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","Estimated Burden of Serious Fungal Infections in Malawi","https://doi.org/10.3390/ijerph15020370","
Int. J. Environ. Res. Public Health 2022, 19(3), 1424; https://doi.org/10.3390/ijerph19031424 - 27 Jan 2022
"
"12","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","
by
Khumbo Kalua, Boston Zimba and David W. Denning ","https://doi.org/10.3390/ijms19020557","
Foods 2022, 11(3), 267; https://doi.org/10.3390/foods11030267 - 20 Jan 2022
"
"13","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","https://doi.org/10.3390/w10010051","
Pathogens 2022, 11(2), 114; https://doi.org/10.3390/pathogens11020114 - 19 Jan 2022
"
"14","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","
by
Moses Majid Limuwa, Wales Singini and Trond Storebakken ","https://doi.org/10.3390/ijns3040033","
Trop. Med. Infect. Dis. 2022, 7(1), 13; https://doi.org/10.3390/tropicalmed7010013 - 17 Jan 2022
"
"15","Delegation Based User Authentication Framework over Cognitive Radio Networks","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","https://doi.org/10.3390/jsan6040029","
Water 2022, 14(1), 121; https://doi.org/10.3390/w14010121 - 05 Jan 2022
"
"16","Questionnaires for Lung Health in Africa across the Life Course","
by
Moses Majid Limuwa, Bishal Kumar Sitaula, Friday Njaya and Trond Storebakken ","https://doi.org/10.3390/ijerph15081615","
Symmetry 2022, 14(4), 700; https://doi.org/10.3390/sym14040700 - 29 Mar 2022
"
"17","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","https://doi.org/10.3390/su10082645","
Water 2022, 14(6), 874; https://doi.org/10.3390/w14060874 - 11 Mar 2022
"
"18","Peanut Consumption in Malawi: An Opportunity for Innovation","
by
Nelson Mango, Clifton Makate, Lulseged Tamene, Powell Mponela and Gift Ndengu ","https://doi.org/10.3390/foods7070112","
Vaccines 2022, 10(3), 418; https://doi.org/10.3390/vaccines10030418 - 10 Mar 2022
"
"19","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","https://doi.org/10.3390/su10072394","
Int. J. Environ. Res. Public Health 2022, 19(5), 3076; https://doi.org/10.3390/ijerph19053076 - 05 Mar 2022
"
"20","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","
by
Cidrick Kasinja and Elizabeth Tilley ","https://doi.org/10.3390/insects9030074","
Sustainability 2022, 14(5), 2719; https://doi.org/10.3390/su14052719 - 25 Feb 2022
"
"21","Estimated Burden of Serious Fungal Infections in Malawi","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","https://doi.org/10.3390/jof4020061","
Sustainability 2022, 14(5), 2536; https://doi.org/10.3390/su14052536 - 22 Feb 2022
"
"22","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","
by
Maria Lisa Odland, Gladys Membe-Gadama, Ursula Kafulafula, Geir W. Jacobsen, James Kumwenda and Elisabeth Darj ","https://doi.org/10.3390/su10051453","
Water 2022, 14(4), 619; https://doi.org/10.3390/w14040619 - 17 Feb 2022
"
"23","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","https://doi.org/10.3390/cli6020034","
Sustainability 2022, 14(4), 2162; https://doi.org/10.3390/su14042162 - 14 Feb 2022
"
"24","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","
by
Anja Lidwina Geßner, Angelika Borkowetz, Michael Baier, Angela Göhlert, Torsten J. Wilhelm, Alexander Thumbs, Eric Borgstein, Lars Jansen, Katrin Beer, Henning Mothes and Matthias Dürst ","https://doi.org/10.3390/land7020049","
J. Pers. Med. 2022, 12(2), 265; https://doi.org/10.3390/jpm12020265 - 11 Feb 2022
"
"25","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","https://doi.org/10.3390/su10041149","
Sustainability 2022, 14(3), 1532; https://doi.org/10.3390/su14031532 - 28 Jan 2022
"
"26","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","
by
Andrew Reid Bell, Jennifer Zavaleta Cheek, Frazer Mataya and Patrick S. Ward ","https://doi.org/10.3390/ijerph15020370","
Int. J. Environ. Res. Public Health 2022, 19(3), 1424; https://doi.org/10.3390/ijerph19031424 - 27 Jan 2022
"
"27","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","https://doi.org/10.3390/ijms19020557","
Foods 2022, 11(3), 267; https://doi.org/10.3390/foods11030267 - 20 Jan 2022
"
"28","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","
by
Helen Brough ","https://doi.org/10.3390/w10010051","
Pathogens 2022, 11(2), 114; https://doi.org/10.3390/pathogens11020114 - 19 Jan 2022
"
"29","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","Delegation Based User Authentication Framework over Cognitive Radio Networks","https://doi.org/10.3390/ijns3040033","
Trop. Med. Infect. Dis. 2022, 7(1), 13; https://doi.org/10.3390/tropicalmed7010013 - 17 Jan 2022
"
"30","Delegation Based User Authentication Framework over Cognitive Radio Networks","
by
Hyunsung Kim and Eun Kyung Ryu ","https://doi.org/10.3390/jsan6040029","
Water 2022, 14(1), 121; https://doi.org/10.3390/w14010121 - 05 Jan 2022
"
"31","Questionnaires for Lung Health in Africa across the Life Course","Questionnaires for Lung Health in Africa across the Life Course","https://doi.org/10.3390/ijerph15081615","
Symmetry 2022, 14(4), 700; https://doi.org/10.3390/sym14040700 - 29 Mar 2022
"
"32","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","
by
Sepeedeh Saleh, Richard Van Zyl-Smit, Brian Allwood, Herve Lawin, Bertrand Hugo Mbatchou Ngahane, Irene Ayakaka, Elvis Moyo, Asma El-Sony, Kevin Mortimer and Jamie Rylance ","https://doi.org/10.3390/su10082645","
Water 2022, 14(6), 874; https://doi.org/10.3390/w14060874 - 11 Mar 2022
"
"33","Peanut Consumption in Malawi: An Opportunity for Innovation","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","https://doi.org/10.3390/foods7070112","
Vaccines 2022, 10(3), 418; https://doi.org/10.3390/vaccines10030418 - 10 Mar 2022
"
"34","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","
by
Hayley Leck, Mark Pelling, Ibidun Adelekan, David Dodman, Hamadou Issaka, Cassidy Johnson, Mtafu Manda, Blessing Mberu, Ezebunwa Nwokocha, Emmanuel Osuteye and Soumana Boubacar ","https://doi.org/10.3390/su10072394","
Int. J. Environ. Res. Public Health 2022, 19(5), 3076; https://doi.org/10.3390/ijerph19053076 - 05 Mar 2022
"
"35","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","Peanut Consumption in Malawi: An Opportunity for Innovation","https://doi.org/10.3390/insects9030074","
Sustainability 2022, 14(5), 2719; https://doi.org/10.3390/su14052719 - 25 Feb 2022
"
"36","Estimated Burden of Serious Fungal Infections in Malawi","
by
Aggrey P. Gama, Koushik Adhikari and David A. Hoisington ","https://doi.org/10.3390/jof4020061","
Sustainability 2022, 14(5), 2536; https://doi.org/10.3390/su14052536 - 22 Feb 2022
"
"37","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","https://doi.org/10.3390/su10051453","
Water 2022, 14(4), 619; https://doi.org/10.3390/w14040619 - 17 Feb 2022
"
"38","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","
by
Tracy D. Morse, Humphreys Masuku, Sarah Rippon and Hudson Kubwalo ","https://doi.org/10.3390/cli6020034","
Sustainability 2022, 14(4), 2162; https://doi.org/10.3390/su14042162 - 14 Feb 2022
"
"39","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","https://doi.org/10.3390/land7020049","
J. Pers. Med. 2022, 12(2), 265; https://doi.org/10.3390/jpm12020265 - 11 Feb 2022
"
"40","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","
by
Trust Kasambala Donga and Richard Meadow ","https://doi.org/10.3390/su10041149","
Sustainability 2022, 14(3), 1532; https://doi.org/10.3390/su14031532 - 28 Jan 2022
"
"41","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","Estimated Burden of Serious Fungal Infections in Malawi","https://doi.org/10.3390/ijerph15020370","
Int. J. Environ. Res. Public Health 2022, 19(3), 1424; https://doi.org/10.3390/ijerph19031424 - 27 Jan 2022
"
"42","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","
by
Khumbo Kalua, Boston Zimba and David W. Denning ","https://doi.org/10.3390/ijms19020557","
Foods 2022, 11(3), 267; https://doi.org/10.3390/foods11030267 - 20 Jan 2022
"
"43","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","https://doi.org/10.3390/w10010051","
Pathogens 2022, 11(2), 114; https://doi.org/10.3390/pathogens11020114 - 19 Jan 2022
"
"44","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","
by
Moses Majid Limuwa, Wales Singini and Trond Storebakken ","https://doi.org/10.3390/ijns3040033","
Trop. Med. Infect. Dis. 2022, 7(1), 13; https://doi.org/10.3390/tropicalmed7010013 - 17 Jan 2022
"
"45","Delegation Based User Authentication Framework over Cognitive Radio Networks","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","https://doi.org/10.3390/jsan6040029","
Water 2022, 14(1), 121; https://doi.org/10.3390/w14010121 - 05 Jan 2022
"
"46","Questionnaires for Lung Health in Africa across the Life Course","
by
Moses Majid Limuwa, Bishal Kumar Sitaula, Friday Njaya and Trond Storebakken ","https://doi.org/10.3390/ijerph15081615","
Symmetry 2022, 14(4), 700; https://doi.org/10.3390/sym14040700 - 29 Mar 2022
"
"47","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","https://doi.org/10.3390/su10082645","
Water 2022, 14(6), 874; https://doi.org/10.3390/w14060874 - 11 Mar 2022
"
"48","Peanut Consumption in Malawi: An Opportunity for Innovation","
by
Nelson Mango, Clifton Makate, Lulseged Tamene, Powell Mponela and Gift Ndengu ","https://doi.org/10.3390/foods7070112","
Vaccines 2022, 10(3), 418; https://doi.org/10.3390/vaccines10030418 - 10 Mar 2022
"
"49","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","https://doi.org/10.3390/su10072394","
Int. J. Environ. Res. Public Health 2022, 19(5), 3076; https://doi.org/10.3390/ijerph19053076 - 05 Mar 2022
"
"50","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","
by
Cidrick Kasinja and Elizabeth Tilley ","https://doi.org/10.3390/insects9030074","
Sustainability 2022, 14(5), 2719; https://doi.org/10.3390/su14052719 - 25 Feb 2022
"
"51","Estimated Burden of Serious Fungal Infections in Malawi","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","https://doi.org/10.3390/jof4020061","
Sustainability 2022, 14(5), 2536; https://doi.org/10.3390/su14052536 - 22 Feb 2022
"
"52","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","
by
Maria Lisa Odland, Gladys Membe-Gadama, Ursula Kafulafula, Geir W. Jacobsen, James Kumwenda and Elisabeth Darj ","https://doi.org/10.3390/su10051453","
Water 2022, 14(4), 619; https://doi.org/10.3390/w14040619 - 17 Feb 2022
"
"53","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","https://doi.org/10.3390/cli6020034","
Sustainability 2022, 14(4), 2162; https://doi.org/10.3390/su14042162 - 14 Feb 2022
"
"54","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","
by
Anja Lidwina Geßner, Angelika Borkowetz, Michael Baier, Angela Göhlert, Torsten J. Wilhelm, Alexander Thumbs, Eric Borgstein, Lars Jansen, Katrin Beer, Henning Mothes and Matthias Dürst ","https://doi.org/10.3390/land7020049","
J. Pers. Med. 2022, 12(2), 265; https://doi.org/10.3390/jpm12020265 - 11 Feb 2022
"
"55","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","https://doi.org/10.3390/su10041149","
Sustainability 2022, 14(3), 1532; https://doi.org/10.3390/su14031532 - 28 Jan 2022
"
"56","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","
by
Andrew Reid Bell, Jennifer Zavaleta Cheek, Frazer Mataya and Patrick S. Ward ","https://doi.org/10.3390/ijerph15020370","
Int. J. Environ. Res. Public Health 2022, 19(3), 1424; https://doi.org/10.3390/ijerph19031424 - 27 Jan 2022
"
"57","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","https://doi.org/10.3390/ijms19020557","
Foods 2022, 11(3), 267; https://doi.org/10.3390/foods11030267 - 20 Jan 2022
"
"58","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","
by
Helen Brough ","https://doi.org/10.3390/w10010051","
Pathogens 2022, 11(2), 114; https://doi.org/10.3390/pathogens11020114 - 19 Jan 2022
"
"59","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","Delegation Based User Authentication Framework over Cognitive Radio Networks","https://doi.org/10.3390/ijns3040033","
Trop. Med. Infect. Dis. 2022, 7(1), 13; https://doi.org/10.3390/tropicalmed7010013 - 17 Jan 2022
"
"60","Delegation Based User Authentication Framework over Cognitive Radio Networks","
by
Hyunsung Kim and Eun Kyung Ryu ","https://doi.org/10.3390/jsan6040029","
Water 2022, 14(1), 121; https://doi.org/10.3390/w14010121 - 05 Jan 2022
"
"61","Questionnaires for Lung Health in Africa across the Life Course","
by
Sepeedeh Saleh, Richard Van Zyl-Smit, Brian Allwood, Herve Lawin, Bertrand Hugo Mbatchou Ngahane, Irene Ayakaka, Elvis Moyo, Asma El-Sony, Kevin Mortimer and Jamie Rylance ","https://doi.org/10.3390/ijerph15081615","
Symmetry 2022, 14(4), 700; https://doi.org/10.3390/sym14040700 - 29 Mar 2022
"
"62","Towards Risk-Sensitive and Transformative Urban Development in Sub Saharan Africa","
by
Hayley Leck, Mark Pelling, Ibidun Adelekan, David Dodman, Hamadou Issaka, Cassidy Johnson, Mtafu Manda, Blessing Mberu, Ezebunwa Nwokocha, Emmanuel Osuteye and Soumana Boubacar ","https://doi.org/10.3390/su10082645","
Water 2022, 14(6), 874; https://doi.org/10.3390/w14060874 - 11 Mar 2022
"
"63","Peanut Consumption in Malawi: An Opportunity for Innovation","
by
Aggrey P. Gama, Koushik Adhikari and David A. Hoisington ","https://doi.org/10.3390/foods7070112","
Vaccines 2022, 10(3), 418; https://doi.org/10.3390/vaccines10030418 - 10 Mar 2022
"
"64","Achieving an Integrated Approach to Food Safety and Hygiene—Meeting the Sustainable Development Goals in Sub-Saharan Africa","
by
Tracy D. Morse, Humphreys Masuku, Sarah Rippon and Hudson Kubwalo ","https://doi.org/10.3390/su10072394","
Int. J. Environ. Res. Public Health 2022, 19(5), 3076; https://doi.org/10.3390/ijerph19053076 - 05 Mar 2022
"
"65","Determination of Genetic Diversity in Chilo partellus, Busseola fusca, and Spodoptera frugiperda Infesting Sugarcane in Southern Malawi Using DNA Barcodes","
by
Trust Kasambala Donga and Richard Meadow ","https://doi.org/10.3390/insects9030074","
Sustainability 2022, 14(5), 2719; https://doi.org/10.3390/su14052719 - 25 Feb 2022
"
"66","Estimated Burden of Serious Fungal Infections in Malawi","
by
Khumbo Kalua, Boston Zimba and David W. Denning ","https://doi.org/10.3390/jof4020061","
Sustainability 2022, 14(5), 2536; https://doi.org/10.3390/su14052536 - 22 Feb 2022
"
"67","Is Fish Farming an Illusion for Lake Malawi Riparian Communities under Environmental Changes?","
by
Moses Majid Limuwa, Wales Singini and Trond Storebakken ","https://doi.org/10.3390/su10051453","
Water 2022, 14(4), 619; https://doi.org/10.3390/w14040619 - 17 Feb 2022
"
"68","Evaluation of Small-Scale Fishers’ Perceptions on Climate Change and Their Coping Strategies: Insights from Lake Malawi","
by
Moses Majid Limuwa, Bishal Kumar Sitaula, Friday Njaya and Trond Storebakken ","https://doi.org/10.3390/cli6020034","
Sustainability 2022, 14(4), 2162; https://doi.org/10.3390/su14042162 - 14 Feb 2022
"
"69","Adoption of Small-Scale Irrigation Farming as a Climate-Smart Agriculture Practice and Its Influence on Household Income in the Chinyanja Triangle, Southern Africa","
by
Nelson Mango, Clifton Makate, Lulseged Tamene, Powell Mponela and Gift Ndengu ","https://doi.org/10.3390/land7020049","
J. Pers. Med. 2022, 12(2), 265; https://doi.org/10.3390/jpm12020265 - 11 Feb 2022
"
"70","Formalization of Informal Waste Pickers’ Cooperatives in Blantyre, Malawi: A Feasibility Assessment","
by
Cidrick Kasinja and Elizabeth Tilley ","https://doi.org/10.3390/su10041149","
Sustainability 2022, 14(3), 1532; https://doi.org/10.3390/su14031532 - 28 Jan 2022
"
"71","The Use of Manual Vacuum Aspiration in the Treatment of Incomplete Abortions: A Descriptive Study from Three Public Hospitals in Malawi","
by
Maria Lisa Odland, Gladys Membe-Gadama, Ursula Kafulafula, Geir W. Jacobsen, James Kumwenda and Elisabeth Darj ","https://doi.org/10.3390/ijerph15020370","
Int. J. Environ. Res. Public Health 2022, 19(3), 1424; https://doi.org/10.3390/ijerph19031424 - 27 Jan 2022
"
"72","Detection of HPV16 in Esophageal Cancer in a High-Incidence Region of Malawi","
by
Anja Lidwina Geßner, Angelika Borkowetz, Michael Baier, Angela Göhlert, Torsten J. Wilhelm, Alexander Thumbs, Eric Borgstein, Lars Jansen, Katrin Beer, Henning Mothes and Matthias Dürst ","https://doi.org/10.3390/ijms19020557","
Foods 2022, 11(3), 267; https://doi.org/10.3390/foods11030267 - 20 Jan 2022
"
"73","Do As They Did: Peer Effects Explain Adoption of Conservation Agriculture in Malawi","
by
Andrew Reid Bell, Jennifer Zavaleta Cheek, Frazer Mataya and Patrick S. Ward ","https://doi.org/10.3390/w10010051","
Pathogens 2022, 11(2), 114; https://doi.org/10.3390/pathogens11020114 - 19 Jan 2022
"
"74","Setting up a Newborn Hearing Screening Programme in a Low-Income Country: Initial Findings from Malawi","
by
Helen Brough ","https://doi.org/10.3390/ijns3040033","
Trop. Med. Infect. Dis. 2022, 7(1), 13; https://doi.org/10.3390/tropicalmed7010013 - 17 Jan 2022
"
"75","Delegation Based User Authentication Framework over Cognitive Radio Networks","
by
Hyunsung Kim and Eun Kyung Ryu ","https://doi.org/10.3390/jsan6040029","
Water 2022, 14(1), 121; https://doi.org/10.3390/w14010121 - 05 Jan 2022
"
